Source,Target,Type,Id,Label,Weight,3,4
57194772911,56573569700,Directed,0,,1,1,5
57194772911,7004474343,Directed,1,,1,1,5
57194772911,57197124623,Directed,2,,1,1,5
57194772911,57216525112,Directed,3,,1,1,5
7004474343,57197124623,Directed,4,,1,1,5
7004474343,57216525112,Directed,5,,1,1,5
7004474343,56573569700,Directed,6,,1,1,5
7004474343,55908415500,Directed,7,,1,13,30
7004474343,56816369000,Directed,8,,1,2,2
7004474343,57216582037,Directed,9,,1,1,0
7004474343,57897646900,Directed,10,,1,1,0
7004474343,57194409673,Directed,11,,1,1,0
7004474343,6603844872,Directed,12,,1,1,0
7004474343,36441595100,Directed,13,,1,1,0
7004474343,57382309000,Directed,14,,1,1,0
7004474343,6701515542,Directed,15,,1,1,0
7004474343,57189465559,Directed,16,,1,1,0
7004474343,57218290128,Directed,17,,1,3,1
7004474343,57188984235,Directed,18,,1,1,1
7004474343,56884762100,Directed,19,,1,1,1
7004474343,57213001300,Directed,20,,1,5,16
7004474343,57219119640,Directed,21,,1,2,1
7004474343,59158003100,Directed,22,,1,2,0
7004474343,58869643200,Directed,23,,1,1,0
7004474343,57188987415,Directed,24,,1,2,8
7004474343,57217246368,Directed,25,,1,3,18
7004474343,57226766436,Directed,26,,1,2,17
7004474343,57212392334,Directed,27,,1,2,1
7004474343,58895988900,Directed,28,,1,1,1
7004474343,58896413200,Directed,29,,1,1,1
7004474343,57226270936,Directed,30,,1,1,23
7004474343,6603647208,Directed,31,,1,2,27
7004474343,57226283044,Directed,32,,1,1,23
7004474343,57222580164,Directed,33,,1,1,23
7004474343,58728864100,Directed,34,,1,1,0
7004474343,57210842815,Directed,35,,1,1,0
7004474343,59152883300,Directed,36,,1,1,0
7004474343,57194409298,Directed,37,,1,1,4
7004474343,16309023400,Directed,38,,1,1,4
7004474343,57222577631,Directed,39,,1,1,4
7004474343,58546580100,Directed,40,,1,1,0
7004474343,58066046100,Directed,41,,1,1,0
56573569700,57216525112,Directed,42,,1,1,5
56573569700,57197124623,Directed,43,,1,1,5
56573569700,55569752100,Directed,44,,1,1,0
56573569700,57194764009,Directed,45,,1,2,0
56573569700,57476958900,Directed,46,,1,1,0
56573569700,57194058482,Directed,47,,1,1,0
56573569700,57216837381,Directed,48,,1,1,0
56573569700,57606947300,Directed,49,,1,2,0
56573569700,16309023400,Directed,50,,1,4,0
56573569700,7102422753,Directed,51,,1,1,0
56573569700,57216405540,Directed,52,,1,1,0
56573569700,7004096252,Directed,53,,1,1,0
56573569700,55203431500,Directed,54,,1,2,0
56573569700,57222577631,Directed,55,,1,1,0
56573569700,57213001300,Directed,56,,1,1,0
56573569700,55908415500,Directed,57,,1,1,0
56573569700,7003776935,Directed,58,,1,1,0
56573569700,55538230300,Directed,59,,1,1,0
56573569700,6602674444,Directed,60,,1,1,0
56573569700,57201185741,Directed,61,,1,1,0
56573569700,57216582706,Directed,62,,1,1,0
56573569700,24775112000,Directed,63,,1,1,0
56573569700,56131176200,Directed,64,,1,1,0
56573569700,59353585200,Directed,65,,1,1,0
