Id,Label,0,1,2,indegree,outdegree,degree,modularity_class,eigencentrality,stat_inf_class,componentnumber,strongcompnum
57220480392,57220480392,Guilherme Medeiros Machado,1,false,15,15,30,2,0.063589,2,0,1290
55513131300,55513131300,Ignácio S. Gendriz,1,false,15,3,18,2,0.071675,2,0,1289
57208330857,57208330857,Ingridy M.P. Barbalho,1,false,17,57,74,2,0.084708,45,0,1288
59276747600,59276747600,Jorge M.O. Henriques,1,false,18,42,60,2,0.097341,50,0,1287
56022953900,56022953900,Agnaldo S. Cruz,1,false,19,57,76,2,0.111404,3,0,1286
57220022529,57220022529,Luiz Paulo de Souza Medeiros,1,false,5,13,18,2,0.023259,48,0,1285
57191658407,57191658407,Thiago Henrique Freire de Oliveira,1,false,2,1,3,2,0.005698,2,0,1284
55664205300,55664205300,Jorge Dantas Melo,1,false,3,0,3,2,0.007447,2,0,1283
59001675900,59001675900,Debora V. C. Lima,1,false,3,0,3,1,0.005176,2,0,1303
57195733388,57195733388,Victor C.G. Freitas,1,false,1,12,13,4,0.00158,6,0,1302
57930026400,57930026400,Daniel C.C. Crisóstomo,1,false,5,14,19,4,0.010354,6,0,1264
7102422753,7102422753,ANDRES ORTIZ SALAZAR,13,true,9,129,138,4,0.021298,6,0,1263
58001903800,58001903800,Gustavo F. Lima,1,false,4,9,13,4,0.010268,6,0,1262
57282612400,57282612400,Valbério Gonzaga De Araújo,1,false,5,14,19,4,0.012892,6,0,1261
58849970600,58849970600,Matheus Andrade,1,false,1,34,35,0,0.00158,28,0,1301
58979157100,58979157100,Thiago Theiry De Oliveira,1,false,2,1,3,0,0.002753,28,0,1300
58979200000,58979200000,Angelo Leite Medeiros De Goes,1,false,3,0,3,0,0.00421,28,0,1299
55415511600,55415511600,ALLAN DE MEDEIROS MARTINS,14,true,6,79,85,11,0.014389,5,0,1260
59260945300,59260945300,Keylly Eyglys Araujo Dos Santos,1,false,2,0,2,11,0.004987,2,0,1259
57216405721,57216405721,Daniele Montenegro da Silva Barros,1,false,15,60,75,2,0.096123,23,0,1282
57609923400,57609923400,Antonio Higor Freire de Morais,1,false,3,12,15,2,0.016891,30,0,1281
57248097400,57248097400,Ion G.M. de Andrade,1,false,8,26,34,2,0.055432,47,0,1280
57190952645,57190952645,Leonardo J. Galvão-Lima,1,false,16,40,56,2,0.109327,43,0,1279
57209278995,57209278995,Alessandre de Medeiros Tavares,1,false,6,2,8,2,0.042166,30,0,1278
57200138662,57200138662,Gustavo Fontoura de Souza,1,false,7,1,8,2,0.048041,30,0,1277
56495540200,56495540200,Ignacio Sánchez-Gendriz,1,false,19,40,59,2,0.13792,49,0,1276
58853796700,58853796700,Lilian Santos,1,false,1,16,17,11,0.003407,5,0,1258
58853984200,58853984200,Pedro Henrique Silva de Almeida,1,false,2,5,7,3,0.004788,5,0,1257
58854176300,58854176300,Winnie de Lima Torres,1,false,3,4,7,3,0.006469,5,0,1256
58854362000,58854362000,Lívia de Maria Calado Machado Soares,1,false,4,3,7,3,0.008488,5,0,1255
58083578500,58083578500,Mário Sérgio Freitas Ferreira Cavalcante,1,false,8,11,19,5,0.018489,9,0,1233
57202214646,57202214646,Tácito Trindade de Araújo Tiburtino Neves,1,false,6,1,7,3,0.015075,5,0,1232
57209105086,57209105086,Ícaro Bezerra Queiroz de Araújo,1,false,14,38,52,5,0.035987,5,0,1231
17433450200,17433450200,Nelio Cacho,1,false,1,12,13,4,0.003407,5,0,1254
57202160927,57202160927,Simon Sudrich,1,false,2,11,13,4,0.004788,5,0,1253
57203001462,57203001462,Patrick Frey,1,false,3,10,13,4,0.006469,5,0,1252
57203009766,57203009766,Daniel Ziehr,1,false,4,9,13,4,0.008488,5,0,1251
57203004803,57203004803,Timo Knapp,1,false,5,8,13,4,0.010888,5,0,1250
6603070716,6603070716,Michael Beigl,1,false,6,7,13,4,0.013714,5,0,1249
57203006299,57203006299,Michaela Etter,1,false,7,6,13,4,0.017016,5,0,1248
57203011795,57203011795,Samuel Abt,1,false,8,5,13,4,0.020846,5,0,1247
55578808067,55578808067,Tiago Figueiredo Vieira,1,false,10,16,26,4,0.032353,5,0,1188
57193787591,57193787591,Johannes Popp,1,false,10,3,13,4,0.031282,5,0,1187
57189376958,57189376958,Julio Borges,1,false,11,2,13,4,0.037155,5,0,1186
57201367692,57201367692,Bruno G. Ferreira,1,false,12,1,13,4,0.043822,5,0,1185
57219331567,57219331567,Lucas M. Massa,1,false,14,4,18,4,0.058452,5,0,1184
58045076900,58045076900,Vinicius Filho,1,false,3,17,20,11,0.007722,0,0,1246
57211804765,57211804765,Manoel B. L. Aquino,1,false,4,18,22,11,0.009919,0,0,1245
