Scopus refine results values

"Your query : (AF-ID(60023857) AND SUBJAREA(ENGI) AND ( LIMIT-TO ( AF-ID,""Universidade Federal do Rio Grande do Norte"" 60023857) )  AND ( LIMIT-TO ( SUBJAREA,""ENGI"" ) ) )"


Number of results : 3675

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
,,,,"Goncalves, L.M.G.","16",,,,,,,"International Journal Of Electrical Power And Energy Systems","9","Controlled Study","36","Universitat de València","11","Federación Española de Enfermedades Raras","4",,,,,,
,,,,"Henriques, B.","16",,,,,,,"Journal Of Materials Engineering And Performance","9","Photocatalysis","36","Universidade Estadual de Santa Cruz","11","Fundación Caja Navarra","4",,,,,,
,,,,"Silva, D.R.C.","16",,,,,,,"Journal Of Reinforced Plastics And Composites","9","Priority Journal","36","Centre for Mechanical Technology and Automation TEMA","11","Fundação Araucária","4",,,,,,
,,,,"Silva, F.S.","16",,,,,,,"SAE Technical Papers","9","Crystallite Size","35","Women University of Azad Jammu &amp; kashmir Bagh","11","Fundação de Apoio à Pesquisa e à Inovação Tecnológica do Estado de Sergipe","4",,,,,,
,,,,"Andrade Neto, N.F.","15",,,,,,,"Advanced Materials Research","8","Intelligent Systems","35","Forschungszentrum Jülich GmbH","10","Fundação de Amparo à Pesquisa do Estado de Alagoas","4",,,,,,
,,,,"Araujo, A.D.","15",,,,,,,"Advances In Space Research","8","Magnetic Properties","35","Instituto Astrofisico de Canarias","10","Horizon 2020","4",,,,,,
,,,,"Bottino, M.A.","15",,,,,,,"Digests Of The 2010 14th Biennial IEEE Conference On Electromagnetic Field Computation Cefc 2010","8","Wireless Telecommunication Systems","35","University of Florida","10","Instituto Federal do Rio Grande do Sul","4",,,,,,
,,,,"Cheung, N.","15",,,,,,,"Electronics Switzerland","8","Copper Alloys","34","Instituto de Ciência e Inovação em Engenharia Mecânica e Engenharia Industrial","10","Instituto Nacional de Ciência e Tecnologia de Sistemas Complexos","4",,,,,,
,,,,"Dantas, A.L.","15",,,,,,,"International Journal Of Advanced Manufacturing Technology","8","Directional Patterns (antenna)","34","University of Trás-os-Montes and Alto Douro","10","John Templeton Foundation","4",,,,,,
,,,,"De Carvalho Neto, J.T.","15",,,,,,,"International Symposium On Project Approaches In Engineering Education","8","Learning Algorithms","34","Universidade Estadual do Sudoeste da Bahia","10","Laboratório Nacional de Nanotecnologia","4",,,,,,
,,,,"De Medeiros, M.F.","15",,,,,,,"Journal Of Water Process Engineering","8","Solidification","34","Michigan Technological University","10","Ministerio de Ciencia, Innovación y Universidades","4",,,,,,
,,,,"Fontes, A.I.R.","15",,,,,,,"Latin American Applied Research","8","Titanium Dioxide","34","European Southern Observatory","10","Ministry of Education","4",,,,,,
,,,,"Santiago, A.A.G.","15",,,,,,,"Proceedings Of The 7th International Conference On Intelligent Systems Design And Applications Isda 2007","8","Water Absorption","34","KU Leuven","10","Ministry of Science and Technology of the People's Republic of China","4",,,,,,
,,,,"Santos, N.C.","15",,,,,,,"Research On Biomedical Engineering","8","Aluminum Alloys","33","Institut de Recherche en Informatique et Systèmes Aléatoires","10","Royal Society","4",,,,,,
,,,,"Sisinni, E.","15",,,,,,,"Revista Brasileira De Engenharia Biomedica","8","Anisotropy","33","Instituto de Aeronautica e Espaco","10","UK Research and Innovation","4",,,,,,
,,,,"de Sousa, V.A.","15",,,,,,,"Sensors And Actuators A Physical","8","Diagnosis","33","CentraleSupélec - Paris-Saclay","10","Universidad Pública de Navarra","4",,,,,,
,,,,"Araújo, A.J.M.","14",,,,,,,"Thermodynamics Of Phase Equilibria In Food Engineering","8","Field Programmable Gate Arrays (FPGA)","33","Instituto de Astrofísica e Ciências do Espaço","10","Academy of Finland","3",,,,,,
,,,,"Canuto, A.M.P.","14",,,,,,,"2010 Annual International Conference Of The IEEE Engineering In Medicine And Biology Society Embc 10","7","High Resolution Transmission Electron Microscopy","33","Federal Rural University of the Semi-Arid","9","Australian Research Council","3",,,,,,
,,,,"Cardoso, R.A.","14",,,,,,,"2019 IEEE Pes Conference On Innovative Smart Grid Technologies Isgt Latin America 2019","7","Infrared Spectroscopy","33","Universidade Federal do ABC","9","Bundesministerium für Bildung und Forschung","3",,,,,,
,,,,"De Sousa, F.R.","14",,,,,,,"Composite Structures","7","Iron Compounds","33","Instituto Superior Técnico","9","China Scholarship Council","3",,,,,,
,,,,"Goldbarg, M.C.","14",,,,,,,"Composites Part B Engineering","7","Power Electronics","33","Slovak University of Technology in Bratislava","9","Consejo Nacional de Ciencia, Tecnología e Innovación Tecnológica","3",,,,,,
,,,,"Lovisa, L.X.","14",,,,,,,"Controle Y Automacao","7","Robust Control","33","Stanford University","9","Conselho Nacional de Desenvolvimento Cient&#x00ED;fico e Tecnol&#x00F3;gico","3",,,,,,
,,,,"Sciarrino, F.","14",,,,,,,"Energy","7","Wavelet Transform","33","Universidade de Coimbra","9","Fondo Nacional de Desarrollo Científico, Tecnológico y de Innovación Tecnológica","3",,,,,,
,,,,"Segadães, A.M.","14",,,,,,,"European Space Agency Special Publication ESA SP","7","Aluminum Oxide","32","Università degli Studi di Firenze","9","Foundation for Scientific and Technological Development in Health","3",,,,,,
,,,,"Villarreal, E.R.L.","14",,,,,,,"IEEE Antennas And Propagation Society AP S International Symposium Digest","7","Calcination","32","Universidade Federal de Itajubá","9","Fundação de Amparo à Pesquisa e Inovação do Espírito Santo","3",,,,,,
,,,,"Özcan, M.","14",,,,,,,"IEEE Power And Energy Society General Meeting","7","Classification (of Information)","32","Istituto Nazionale Di Astrofisica, Rome","9","Fundação de Apoio à Pesquisa do Distrito Federal","3",,,,,,
,,,,"Belfort, D.R.","13",,,,,,,"IEEE Transactions On Industrial Electronics","7","Electric Power Transmission Networks","32","Instituto Federal de Educação, Ciência e Tecnologia do Ceará, Fortaleza","9","Fundo para o Desenvolvimento Tecnológico das Telecomunicações","3",,,,,,
,,,,"Cacho, N.","13",,,,,,,"Journal Of Building Engineering","7","Robustness (control Systems)","32","Rheinland-Pfälzische Technische Universität Kaiserslautern-Landau","9","Governo Brasil","3",,,,,,
,,,,"Da Silva, A.G.P.","13",,,,,,,"Journal Of Solid State Electrochemistry","7","Signal Processing","32","Federal University of the Semi-Arid Region","8","ISCTE – Instituto Universitário de Lisboa","3",,,,,,
,,,,"Dorea, C.E.T.","13",,,,,,,"Key Engineering Materials","7","Computer Architecture","31","Federal Rural University of the Semi-Arid Region","8","Instituto Nacional de Ciência e Tecnologia de Fluidos Complexos","3",,,,,,
,,,,"Filgueira, M.","13",,,,,,,"Lecture Notes In Electrical Engineering","7","Diseases","31","Faculdade de Ciências, Universidade de Lisboa","8","Instituto de Ciência e Tecnologia de Nanomateriais de Carbono","3",,,,,,
,,,,"Immich, R.","13",,,,,,,"Materials Science And Engineering B","7","Electric Lines","31","Uppsala Universitet","8","International Centre for Diffraction Data","3",,,,,,
,,,,"Pergher, S.","13",,,,,,,"Materials Science And Engineering C","7","Measured Results","31","Université de Genève","8","Laboratório Nacional de Luz Síncrotron","3",,,,,,
,,,,"Poderini, D.","13",,,,,,,"Materials Science In Semiconductor Processing","7","Niobium Compounds","31","Rice University","8","Ministerio de Ciencia e Innovación","3",,,,,,
,,,,"Queiroz, K.","13",,,,,,,"Mathematical Problems In Engineering","7","Transmission Electron Microscopy","31","Delft University of Technology","8","National Cancer Center","3",,,,,,
,,,,"Soares, J.M.","13",,,,,,,"Minerals Engineering","7","Wear Resistance","31","University of Colorado at Colorado Springs","8","National Institute of Dental and Craniofacial Research","3",,,,,,
,,,,"Souza, B.A.","13",,,,,,,"Progress In Electromagnetics Research Symposium","7","Aromatic Compounds","30","Université de Mons","8","Safran Aircraft Engines","3",,,,,,
,,,,"Souza, C.P.","13",,,,,,,"Water Research","7","Carbides","30","Observatório Nacional","8","Science and Technology Facilities Council","3",,,,,,
,,,,"Anselmo, D.H.A.L.","12",,,,,,,"2013 Brazilian Power Electronics Conference Cobep 2013 Proceedings","6","Chemical Analysis","30","Heriot-Watt University","8","Shell Brasil","3",,,,,,
,,,,"Braga, T.P.","12",,,,,,,"2021 Brazilian Power Electronics Conference Cobep 2021","6","Efficiency","30","Iscte – Instituto Universitário de Lisboa","8","U.S. Department of Defense","3",,,,,,
,,,,"Carvacho, G.","12",,,,,,,"2021 Latin American Robotics Symposium 2021 Brazilian Symposium On Robotics And 2021 Workshop On Robotics In Education LARS Sbr Wre 2021","6","Fuzzy Inference","30","Università degli Studi di Milano","8","Universidad Nacional de San Luis","3",,,,,,
,,,,"Carvalho, B.R.","12",,,,,,,"20th SBMO IEEE MTT S International Microwave And Optoelectronics Conference Imoc 2023","6","Fuzzy Sets","30","Osservatorio Astronomico di Trieste","8","Universidade Estadual de Campinas","3",,,,,,
,,,,"Da Silva, J.P.","12",,,,,,,"Computational Materials Science","6","Nonhuman","30","Université de Toulouse","8","Universidade Federal de Santa Catarina","3",,,,,,
,,,,"De Souza, C.P.","12",,,,,,,"Computers And Electrical Engineering","6","Parameter Estimation","30","School of Computing and Communications, Lancaster University","8","Villum Fonden","3",,,,,,
,,,,"Do Nascimento, R.M.","12",,,,,,,"Conference Digest 27th International Conference On Infrared And Millimeter Waves Irmmw 2002","6","Photocatalytic Activity","30","George R. Brown School of Engineering","8","Agenția Națională pentru Cercetare și Dezvoltare","2",,,,,,
,,,,"Fagg, D.P.","12",,,,,,,"Engineering Applications Of Artificial Intelligence","6","Plasma Applications","30","Federal Rural University of Semi-Arid","7","American Society for Quality","2",,,,,,
